Group,Taxonomic_string,mean_relative_abundance
Control,Bacteria;Proteobacteria;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Klebsiella,24.38
Treatment,Bacteria;Firmicutes;Bacilli;Lactobacillales;Enterococcaceae;Enterococcus,32.21
